Site,Species,Breed,Pet_DOB,Gender,Neutered,Purchase_Price
PDSA,Dog,Dobermann,01/12/2021,Female,No,1800
PDSA,Dog,Dobermann,03/11/2021,Male,No,500
PDSA,Dog,Dobermann,01/07/2021,Female,No,2300
PDSA,Dog,Dobermann,01/01/2021,Male,No,2400
PDSA,Dog,Dobermann,01/03/2019,Male,Yes,950
PDSA,Dog,English Pointer,21/12/2021,Male,No,1600
PDSA,Dog,French Bulldog,01/05/2021,Male,Yes,1700
PDSA,Dog,French Bulldog,01/04/2021,Male,Yes,500
PDSA,Dog,French Bulldog,22/09/2020,Male,Yes,500
PDSA,Dog,German Shorthaired Pointer,01/09/2021,Male,No,1500
PDSA,Dog,German Shorthaired Pointer,01/11/2020,Female,No,2200
PDSA,Dog,German Shorthaired Pointer,21/11/2020,Male,No,2500
PDSA,Dog,German Shorthaired Pointer,01/01/2020,Female,Yes,1500
PDSA,Dog,German Shorthaired Pointer,01/05/2016,Male,Yes,1000
PDSA,Dog,Jack Russell,01/06/2021,Female,No,500
PDSA,Dog,Jack Russell,01/12/2017,Male,Yes,700
PDSA,Dog,Jack Russell,01/12/2016,Male,No,50
PDSA,Dog,King Charles Spaniel,01/01/2015,Female,Yes,1000
PDSA,Dog,Old English Sheepdog,01/02/2021,Male,No,3000
PDSA,Dog,Pomeranian,01/01/2019,Female,Yes,750
PDSA,Dog,Pug,10/06/2020,Female,No,800
PDSA,Dog,Pug,01/11/2017,Male,No,2000
PDSA,Dog,Retriever (Labrador),01/06/2021,Female,No,1800
PDSA,Dog,Rottweiler,01/12/2020,Male,Yes,205
PDSA,Dog,Rottweiler,01/11/2019,Female,Yes,1500
PDSA,Dog,Samoyed,01/04/2015,Male,No,950
PDSA,Dog,Spaniel (English Springer),01/12/2019,Male,No,850
PDSA,Dog,Spaniel (English Springer),01/10/2016,Male,No,600
PDSA,Dog,Staffordshire Bull Terrier,04/02/2021,Male,No,0
PDSA,Dog,Whippet,01/01/2021,Male,Yes,1500
PDSA,Dog,Akita,06/04/2017,Male,No,550
PDSA,Dog,Alsatian,01/01/2021,Female,Yes,500
PDSA,Dog,Alsatian,01/03/2016,Female,No,115
PDSA,Dog,Beagle,01/04/2015,Male,Yes,950
PDSA,Dog,Bulldog,01/11/2019,Male,Yes,500
PDSA,Dog,Cockerpoo,23/01/2019,Female,Yes,650
PDSA,Dog,Dobermann,01/11/2019,Female,No,1000
PDSA,Dog,Dobermann,10/09/2014,Female,Yes,450
PDSA,Dog,French Bulldog,01/01/2021,Male,No,1800
PDSA,Dog,French Bulldog,02/02/2021,Male,Yes,200
PDSA,Dog,French Bulldog,01/08/2020,Female,Yes,2400
PDSA,Dog,French Bulldog,01/09/2020,Male,No,2500
PDSA,Dog,French Bulldog,01/02/2019,Male,No,1500
PDSA,Dog,Great Dane,01/10/2015,Female,No,450
PDSA,Dog,Jack Russell,01/11/2020,Male,Yes,1400
PDSA,Dog,Japanese Akita,25/12/2021,Female,No,1500
PDSA,Dog,Lurcher,01/09/2019,Female,Yes,200
PDSA,Dog,Lurcher,01/02/2017,Male,Yes,150
PDSA,Dog,Maltese,20/12/2021,Male,No,750
