Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Dog,Boerboel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bohemian Shepherd,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bolognese,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Borador,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Border Collie,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Border Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Borzoi,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bosnian Shepherd Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Boston Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bouvier des Flandres,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Boxer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Boxweilier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Boykin Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bracco Italiano,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Briard,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Britanny,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,British Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Brittany,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Brittany Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Broken Haired Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Broken Haired Terriers,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Brussels Griffon,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bug,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Buggle,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bull Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bull Terrier (Miniature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bulldog (Miniature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bulldog (Toy),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bullmastiff,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Burgos Pointer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cairn Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Can de Palleiro,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Canaan Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Canadian Eskimo Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cao da Serra de Aires,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cao de Castro Laboreiro,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Carea Leones,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Carpathian Shepherd,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Catahoula Leopard Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Catalan Sheepdog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cavachon,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cavalier King Charles Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cavapoo,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Central Asian Shepherd Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cesky Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chesapeake Bay Retriever,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chi-A-Pap,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chi-Shi,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chihuahua,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chihuahua (Long-Coated),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chihuahua (Smooth-coated),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
