Site,Pet,Breed,Age,Gender,Neutered,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,£52.27,£627.24,£99,4000
Animal Friends,Dog,Azawakh,4,Male,Yes,£20.27,£243.24,£99,1000
Animal Friends,Dog,Azawakh,4,Male,Yes,£35.38,£424.56,£99,2000
Animal Friends,Dog,Azawakh,4,Male,Yes,£52.27,£627.24,£99,4000
Animal Friends,Dog,Barbet,4,Male,Yes,£7.87,£94.44,£99,1000
Animal Friends,Dog,Barbet,4,Male,Yes,£13.74,£164.88,£99,2000
Animal Friends,Dog,Barbet,4,Male,Yes,£20.31,£243.72,£99,4000
Animal Friends,Dog,Basenji,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Basenji,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Basenji,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Basset Bleu De Gascogne (Small),4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Basset Fauve de Bretagne,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Basset Griffon Vendeen,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Basset Griffon Vendeen Grand,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Basset Griffon Vendeen Petite,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Basset Hound,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Basset Hound,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Basset Hound,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,£23.33,£279.96,£99,1000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,£40.73,£488.76,£99,2000
Animal Friends,Dog,Bavarian Mountain Hound,4,Male,Yes,£60.17,£722.04,£99,4000
Animal Friends,Dog,Beagle,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Beagle,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Beagle,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Beaglier,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Beaglier,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Beaglier,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Bearded Collie,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Beauceron,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Beauceron,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Beauceron,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Bedlington Terrier,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,£14.90,£178.80,£99,1000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,£26.01,£312.12,£99,2000
Animal Friends,Dog,Belgian Cattle Dog,4,Male,Yes,£38.42,£461.04,£99,4000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Malinois,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Dog (Laekenois),4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog (Laekenois),4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog (Laekenois),4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Dog (Malinois),4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog (Malinois),4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog (Malinois),4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Dog (Tervueren),4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Dog (Tervueren),4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Dog (Tervueren),4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Malinois,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Malinois,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Malinois,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Shepherd Tervuren,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Shepherd Tervuren,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Shepherd Tervuren,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Belgian Terrier,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Belgian Terrier,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Belgian Terrier,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Belgian Tervuren,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Belgian Tervuren,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Belgian Tervuren,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Bergamasco Shepherd,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Bergamasco Shepherd,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Bergamasco Shepherd,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Berger Blanc Suisse,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Berger Blanc Suisse,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Berger Blanc Suisse,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,£24.05,£288.60,£99,1000
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,£41.98,£503.76,£99,2000
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,£62.01,£744.12,£99,4000
Animal Friends,Dog,Bichon Frise,4,Male,Yes,£10.96,£131.52,£99,1000
Animal Friends,Dog,Bichon Frise,4,Male,Yes,£19.13,£229.56,£99,2000
Animal Friends,Dog,Bichon Frise,4,Male,Yes,£28.26,£339.12,£99,4000
Animal Friends,Dog,Black Russian,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Black Russian,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Black Russian,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Black and Tan Coonhound,4,Male,Yes,£7.97,£95.64,£99,1000
Animal Friends,Dog,Black and Tan Coonhound,4,Male,Yes,£13.91,£166.92,£99,2000
Animal Friends,Dog,Black and Tan Coonhound,4,Male,Yes,£20.55,£246.60,£99,4000
Animal Friends,Dog,Bloodhound,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Bloodhound,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Bloodhound,4,Male,Yes,£30.37,£364.44,£99,4000
