Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Lankeland Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Lankeland Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Lankeland Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Lankeland Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Lapp Reindeer Dog,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Lapp Reindeer Dog,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Lapp Reindeer Dog,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Lapp Reindeer Dog,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Lapponian Herder,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Lapponian Herder,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Lapponian Herder,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Lapponian Herder,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Lapsk Vallhund,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Lapsk Vallhund,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Lapsk Vallhund,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Lapsk Vallhund,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Large Munsterlander,4,Male,Yes,Free,£17.57,£210.84,£99,1000
Animal Friends,Dog,Large Munsterlander,4,Male,Yes,Free,£31.74,£380.88,£99,2000
Animal Friends,Dog,Large Munsterlander,4,Male,Yes,Free,£45.76,£549.12,£99,4000
Animal Friends,Dog,Large Munsterlander,4,Male,Yes,Free,£60.79,£729.48,£99,6000
Animal Friends,Dog,Latvian Hound,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Latvian Hound,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Latvian Hound,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Latvian Hound,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Leonberger,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,Leonberger,4,Male,Yes,Free,£37.46,£449.52,£99,2000
Animal Friends,Dog,Leonberger,4,Male,Yes,Free,£54.02,£648.24,£99,4000
Animal Friends,Dog,Leonberger,4,Male,Yes,Free,£71.76,£861.12,£99,6000
Animal Friends,Dog,Lhasa Apso,4,Male,Yes,Free,£6.64,£79.68,£99,1000
Animal Friends,Dog,Lhasa Apso,4,Male,Yes,Free,£11.79,£141.48,£99,2000
Animal Friends,Dog,Lhasa Apso,4,Male,Yes,Free,£17.00,£204.00,£99,4000
Animal Friends,Dog,Lhasa Apso,4,Male,Yes,Free,£22.58,£270.96,£99,6000
Animal Friends,Dog,Libyan Desert Dog,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Libyan Desert Dog,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Libyan Desert Dog,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Libyan Desert Dog,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Lowchen,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,Lowchen,4,Male,Yes,Free,£37.46,£449.52,£99,2000
Animal Friends,Dog,Lowchen,4,Male,Yes,Free,£54.02,£648.24,£99,4000
Animal Friends,Dog,Lowchen,4,Male,Yes,Free,£71.76,£861.12,£99,6000
Animal Friends,Dog,Lucas Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Lucas Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Lucas Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Lucas Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Lurcher,4,Male,Yes,Free,£11.41,£136.92,£99,1000
Animal Friends,Dog,Lurcher,4,Male,Yes,Free,£20.62,£247.44,£99,2000
Animal Friends,Dog,Lurcher,4,Male,Yes,Free,£29.72,£356.64,£99,4000
Animal Friends,Dog,Lurcher,4,Male,Yes,Free,£39.49,£473.88,£99,6000
Animal Friends,Dog,Lurcher (Medium),4,Male,Yes,Free,£11.41,£136.92,£99,1000
Animal Friends,Dog,Lurcher (Medium),4,Male,Yes,Free,£20.62,£247.44,£99,2000
Animal Friends,Dog,Lurcher (Medium),4,Male,Yes,Free,£29.72,£356.64,£99,4000
Animal Friends,Dog,Lurcher (Medium),4,Male,Yes,Free,£39.49,£473.88,£99,6000
Animal Friends,Dog,Maasai Cattle Dog,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Maasai Cattle Dog,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Maasai Cattle Dog,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Maasai Cattle Dog,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Magyar Agar,4,Male,Yes,Free,£11.94,£143.28,£99,1000
Animal Friends,Dog,Magyar Agar,4,Male,Yes,Free,£21.56,£258.72,£99,2000
Animal Friends,Dog,Magyar Agar,4,Male,Yes,Free,£31.09,£373.08,£99,4000
Animal Friends,Dog,Magyar Agar,4,Male,Yes,Free,£41.31,£495.72,£99,6000
Animal Friends,Dog,Mal-Shi,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Mal-Shi,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Mal-Shi,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Mal-Shi,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Malinois,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Malinois,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Malinois,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Malinois,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Maltese,4,Male,Yes,Free,£8.05,£96.60,£99,1000
Animal Friends,Dog,Maltese,4,Male,Yes,Free,£14.55,£174.60,£99,2000
Animal Friends,Dog,Maltese,4,Male,Yes,Free,£20.99,£251.88,£99,4000
Animal Friends,Dog,Maltese,4,Male,Yes,Free,£27.88,£334.56,£99,6000
Animal Friends,Dog,Maltipoo,4,Male,Yes,Free,£9.95,£119.40,£99,1000
Animal Friends,Dog,Maltipoo,4,Male,Yes,Free,£17.96,£215.52,£99,2000
Animal Friends,Dog,Maltipoo,4,Male,Yes,Free,£25.91,£310.92,£99,4000
Animal Friends,Dog,Maltipoo,4,Male,Yes,Free,£34.41,£412.92,£99,6000
Animal Friends,Dog,Manchester Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Manchester Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Manchester Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Manchester Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Maremma,4,Male,Yes,Free,£7.39,£88.68,£99,1000
Animal Friends,Dog,Maremma,4,Male,Yes,Free,£13.35,£160.20,£99,2000
Animal Friends,Dog,Maremma,4,Male,Yes,Free,£19.24,£230.88,£99,4000
Animal Friends,Dog,Maremma,4,Male,Yes,Free,£25.56,£306.72,£99,6000
Animal Friends,Dog,Maremma Sheepdog,4,Male,Yes,Free,£7.39,£88.68,£99,1000
Animal Friends,Dog,Maremma Sheepdog,4,Male,Yes,Free,£13.35,£160.20,£99,2000
Animal Friends,Dog,Maremma Sheepdog,4,Male,Yes,Free,£19.24,£230.88,£99,4000
Animal Friends,Dog,Maremma Sheepdog,4,Male,Yes,Free,£25.56,£306.72,£99,6000
Animal Friends,Dog,Mastiff,4,Male,Yes,Free,£21.77,£261.24,£99,1000
Animal Friends,Dog,Mastiff,4,Male,Yes,Free,£39.33,£471.96,£99,2000
Animal Friends,Dog,Mastiff,4,Male,Yes,Free,£56.72,£680.64,£99,4000
Animal Friends,Dog,Mastiff,4,Male,Yes,Free,£75.34,£904.08,£99,6000
Animal Friends,Dog,Mexican Hairless,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Mexican Hairless,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Mexican Hairless,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Mexican Hairless,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Mi-Ki,4,Male,Yes,Free,£7.39,£88.68,£99,1000
Animal Friends,Dog,Mi-Ki,4,Male,Yes,Free,£13.35,£160.20,£99,2000
Animal Friends,Dog,Mi-Ki,4,Male,Yes,Free,£19.24,£230.88,£99,4000
Animal Friends,Dog,Mi-Ki,4,Male,Yes,Free,£25.56,£306.72,£99,6000
Animal Friends,Dog,Miniature American Shepherd,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Miniature American Shepherd,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Miniature American Shepherd,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Miniature American Shepherd,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Miniature Labradoodle,4,Male,Yes,Free,£9.95,£119.40,£99,1000
Animal Friends,Dog,Miniature Labradoodle,4,Male,Yes,Free,£17.96,£215.52,£99,2000
Animal Friends,Dog,Miniature Labradoodle,4,Male,Yes,Free,£25.91,£310.92,£99,4000
Animal Friends,Dog,Miniature Labradoodle,4,Male,Yes,Free,£34.41,£412.92,£99,6000
Animal Friends,Dog,Munsterlander,4,Male,Yes,Free,£17.57,£210.84,£99,1000
Animal Friends,Dog,Munsterlander,4,Male,Yes,Free,£31.74,£380.88,£99,2000
Animal Friends,Dog,Munsterlander,4,Male,Yes,Free,£45.76,£549.12,£99,4000
Animal Friends,Dog,Munsterlander,4,Male,Yes,Free,£60.79,£729.48,£99,6000
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£32.57,£390.84,£99,1000
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£58.83,£705.96,£99,2000
