site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Pet Plan,Dog,Bull-Pei,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bullboxer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bullmasador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bullmastiff,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bullpug,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bullweiner,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Majorca Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Ca de Bou,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Caine Corso (Italian Mastiff),4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cairn Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cairnoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Can de Palleiro,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Canaan,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Canadian Eskimo Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Canarian Warren Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cao de Castro Laboreiro,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Capheaton Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cardigan Corgi,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Carolina Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Carpathian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Castro Laboreiro,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Catahoula Leopard Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Catalan Sheepdog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cava Tzu,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cavachon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cavador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cavalier King Charles Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cavapoo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cavestie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cesky Fousek,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cesky Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chesapeake Bay Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chi Apso,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chi Chon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chi-Poo,4,Male,Yes,Free,Covered For Life - £4000 or more
