Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Andalusian Podenco,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Andalusian Podenco,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Andalusian Podenco,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Appenzeller Sennenhund,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,Appenzeller Sennenhund,4,Male,Yes,Free,£37.46,£449.52,£99,2000
Animal Friends,Dog,Appenzeller Sennenhund,4,Male,Yes,Free,£54.02,£648.24,£99,4000
Animal Friends,Dog,Appenzeller Sennenhund,4,Male,Yes,Free,£71.76,£861.12,£99,6000
Animal Friends,Dog,Ariegeois,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Ariegeois,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Ariegeois,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Ariegeois,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,Free,£17.57,£210.84,£99,1000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,Free,£31.74,£380.88,£99,2000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,Free,£45.76,£549.12,£99,4000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,Free,£60.79,£729.48,£99,6000
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,Free,£10.94,£131.28,£99,1000
