Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Petplan,Dog,Bichon Frise,4,Male,Yes,Covered For Life - £4000 or more,£60.23,£722.76 ,£110,12000
Petplan,Dog,West Highland White Terrier,4,Male,Yes,Covered For Life - £4000 or more,£34.32,£411.84 ,£110,4000
Petplan,Dog,West Highland White Terrier,4,Male,Yes,Covered For Life - £4000 or more,£44.54,£534.48 ,£110,7000
Petplan,Dog,West Highland White Terrier,4,Male,Yes,Covered For Life - £4000 or more,£60.23,£722.76 ,£110,12000
Petplan,Dog,Miniature Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£34.08,£408.96 ,£110,4000
Petplan,Dog,Miniature Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£44.23,£530.76 ,£110,7000
Petplan,Dog,Miniature Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£60.54,£726.48 ,£110,12000
Petplan,Dog,Wirehaired Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£34.08,£408.96 ,£110,4000
Petplan,Dog,Wirehaired Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£44.23,£530.76 ,£110,7000
Petplan,Dog,Wirehaired Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£60.54,£726.48 ,£110,12000
Petplan,Dog,Tibetan Terrier,4,Male,Yes,Covered For Life - £4000 or more,£35.02,£420.24 ,£110,4000
Petplan,Dog,Tibetan Terrier,4,Male,Yes,Covered For Life - £4000 or more,£45.44,£545.28 ,£110,7000
Petplan,Dog,Tibetan Terrier,4,Male,Yes,Covered For Life - £4000 or more,£61.46,£737.52 ,£110,12000
Petplan,Dog,Lurcher,4,Male,Yes,Covered For Life - £4000 or more,£36.42,£437.04 ,£110,4000
Petplan,Dog,Lurcher,4,Male,Yes,Covered For Life - £4000 or more,£47.26,£567.12 ,£110,7000
Petplan,Dog,Lurcher,4,Male,Yes,Covered For Life - £4000 or more,£61.46,£737.52 ,£110,12000
Petplan,Dog,Miniature Pinscher,4,Male,Yes,Covered For Life - £4000 or more,£35.09,£421.08 ,£110,4000
Petplan,Dog,Miniature Pinscher,4,Male,Yes,Covered For Life - £4000 or more,£45.53,£546.36 ,£110,7000
Petplan,Dog,Miniature Pinscher,4,Male,Yes,Covered For Life - £4000 or more,£62.07,£744.84 ,£110,12000
Petplan,Dog,Papillon,4,Male,Yes,Covered For Life - £4000 or more,£35.09,£421.08 ,£110,4000
Petplan,Dog,Papillon,4,Male,Yes,Covered For Life - £4000 or more,£45.53,£546.36 ,£110,7000
Petplan,Dog,Papillon,4,Male,Yes,Covered For Life - £4000 or more,£62.07,£744.84 ,£110,12000
Petplan,Dog,Husky,4,Male,Yes,Covered For Life - £4000 or more,£37.91,£454.92 ,£110,4000
Petplan,Dog,Husky,4,Male,Yes,Covered For Life - £4000 or more,£49.19,£590.28 ,£110,7000
Petplan,Dog,Husky,4,Male,Yes,Covered For Life - £4000 or more,£62.33,£747.96 ,£110,12000
Petplan,Dog,Jack-A-Poo,4,Male,Yes,Covered For Life - £4000 or more,£35.37,£424.44 ,£110,4000
Petplan,Dog,Jack-A-Poo,4,Male,Yes,Covered For Life - £4000 or more,£45.90,£550.80 ,£110,7000
Petplan,Dog,Jack-A-Poo,4,Male,Yes,Covered For Life - £4000 or more,£62.33,£747.96 ,£110,12000
Petplan,Dog,Maltese,4,Male,Yes,Covered For Life - £4000 or more,£39.15,£469.80 ,£110,4000
Petplan,Dog,Maltese,4,Male,Yes,Covered For Life - £4000 or more,£50.80,£609.60 ,£110,7000
Petplan,Dog,Maltese,4,Male,Yes,Covered For Life - £4000 or more,£68.68,£824.16 ,£110,12000
Petplan,Dog,Italian Greyhound,4,Male,Yes,Covered For Life - £4000 or more,£36.95,£443.40 ,£110,4000
Petplan,Dog,Italian Greyhound,4,Male,Yes,Covered For Life - £4000 or more,£47.94,£575.28 ,£110,7000
Petplan,Dog,Italian Greyhound,4,Male,Yes,Covered For Life - £4000 or more,£62.59,£751.08 ,£110,12000
Petplan,Dog,Saluki,4,Male,Yes,Covered For Life - £4000 or more,£36.95,£443.40 ,£110,4000
Petplan,Dog,Saluki,4,Male,Yes,Covered For Life - £4000 or more,£47.94,£575.28 ,£110,7000
Petplan,Dog,Saluki,4,Male,Yes,Covered For Life - £4000 or more,£62.59,£751.08 ,£110,12000
Petplan,Dog,Golden Retriever,4,Male,Yes,Covered For Life - £4000 or more,£39.67,£476.04 ,£110,4000
Petplan,Dog,Golden Retriever,4,Male,Yes,Covered For Life - £4000 or more,£51.48,£617.76 ,£110,7000
Petplan,Dog,Golden Retriever,4,Male,Yes,Covered For Life - £4000 or more,£62.99,£755.88 ,£110,12000
Petplan,Dog,Lancashire Heeler,4,Male,Yes,Covered For Life - £4000 or more,£35.32,£423.84 ,£110,4000
Petplan,Dog,Lancashire Heeler,4,Male,Yes,Covered For Life - £4000 or more,£45.83,£549.96 ,£110,7000
Petplan,Dog,Lancashire Heeler,4,Male,Yes,Covered For Life - £4000 or more,£62.99,£755.88 ,£110,12000
Petplan,Dog,Siberian Husky,4,Male,Yes,Covered For Life - £4000 or more,£38.82,£465.84 ,£110,4000
Petplan,Dog,Siberian Husky,4,Male,Yes,Covered For Life - £4000 or more,£50.38,£604.56 ,£110,7000
Petplan,Dog,Siberian Husky,4,Male,Yes,Covered For Life - £4000 or more,£63.83,£765.96 ,£110,12000
Petplan,Dog,Border Collie,4,Male,Yes,Covered For Life - £4000 or more,£32.33,£387.96 ,£110,4000
Petplan,Dog,Border Collie,4,Male,Yes,Covered For Life - £4000 or more,£41.96,£503.52 ,£110,7000
Petplan,Dog,Border Collie,4,Male,Yes,Covered For Life - £4000 or more,£70.88,£850.56 ,£110,12000
Petplan,Dog,Shetland Sheepdog,4,Male,Yes,Covered For Life - £4000 or more,£37.06,£444.72 ,£110,4000
Petplan,Dog,Shetland Sheepdog,4,Male,Yes,Covered For Life - £4000 or more,£48.09,£577.08 ,£110,7000
Petplan,Dog,Shetland Sheepdog,4,Male,Yes,Covered For Life - £4000 or more,£64.52,£774.24 ,£110,12000
Petplan,Dog,Bearded Collie,4,Male,Yes,Covered For Life - £4000 or more,£37.06,£444.72 ,£110,4000
Petplan,Dog,Bearded Collie,4,Male,Yes,Covered For Life - £4000 or more,£48.09,£577.08 ,£110,7000
Petplan,Dog,Bearded Collie,4,Male,Yes,Covered For Life - £4000 or more,£64.52,£774.24 ,£110,12000
Petplan,Dog,Pug,4,Male,Yes,Covered For Life - £4000 or more,£41.45,£497.40 ,£110,4000
Petplan,Dog,Pug,4,Male,Yes,Covered For Life - £4000 or more,£53.79,£645.48 ,£110,7000
Petplan,Dog,Pug,4,Male,Yes,Covered For Life - £4000 or more,£72.72,£872.64 ,£110,12000
Petplan,Dog,Cavalier King Charles Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£41.45,£497.40 ,£110,4000
Petplan,Dog,Cavalier King Charles Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£53.79,£645.48 ,£110,7000
Petplan,Dog,Cavalier King Charles Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£72.72,£872.64 ,£110,12000
Petplan,Dog,Alaskan Malamute,4,Male,Yes,Covered For Life - £4000 or more,£41.10,£493.20 ,£110,4000
Petplan,Dog,Alaskan Malamute,4,Male,Yes,Covered For Life - £4000 or more,£53.34,£640.08 ,£110,7000
Petplan,Dog,Alaskan Malamute,4,Male,Yes,Covered For Life - £4000 or more,£67.58,£810.96 ,£110,12000
Petplan,Dog,Dalmatian,4,Male,Yes,Covered For Life - £4000 or more,£38.35,£460.20 ,£110,4000
Petplan,Dog,Dalmatian,4,Male,Yes,Covered For Life - £4000 or more,£49.77,£597.24 ,£110,7000
Petplan,Dog,Dalmatian,4,Male,Yes,Covered For Life - £4000 or more,£67.58,£810.96 ,£110,12000
Petplan,Dog,Staffordshire Bull Terrier,4,Male,Yes,Covered For Life - £4000 or more,£38.80,£465.60 ,£110,4000
Petplan,Dog,Staffordshire Bull Terrier,4,Male,Yes,Covered For Life - £4000 or more,£50.34,£604.08 ,£110,7000
Petplan,Dog,Staffordshire Bull Terrier,4,Male,Yes,Covered For Life - £4000 or more,£68.07,£816.84 ,£110,12000
Petplan,Dog,Storkie,4,Male,Yes,Covered For Life - £4000 or more,£38.80,£465.60 ,£110,4000
Petplan,Dog,Storkie,4,Male,Yes,Covered For Life - £4000 or more,£50.34,£604.08 ,£110,7000
Petplan,Dog,Storkie,4,Male,Yes,Covered For Life - £4000 or more,£68.07,£816.84 ,£110,12000
Petplan,Dog,Labradoodle,4,Male,Yes,Covered For Life - £4000 or more,£31.18,£374.16 ,£110,4000
Petplan,Dog,Labradoodle,4,Male,Yes,Covered For Life - £4000 or more,£40.46,£485.52 ,£110,7000
Petplan,Dog,Labradoodle,4,Male,Yes,Covered For Life - £4000 or more,£68.37,£820.44 ,£110,12000
Petplan,Dog,Japanese Shiba Inu,4,Male,Yes,Covered For Life - £4000 or more,£31.18,£374.16 ,£110,4000
Petplan,Dog,Japanese Shiba Inu,4,Male,Yes,Covered For Life - £4000 or more,£40.46,£485.52 ,£110,7000
Petplan,Dog,Japanese Shiba Inu,4,Male,Yes,Covered For Life - £4000 or more,£68.37,£820.44 ,£110,12000
Petplan,Dog,Korthals Griffon,4,Male,Yes,Covered For Life - £4000 or more,£40.41,£484.92 ,£110,4000
Petplan,Dog,Korthals Griffon,4,Male,Yes,Covered For Life - £4000 or more,£52.44,£629.28 ,£110,7000
Petplan,Dog,Korthals Griffon,4,Male,Yes,Covered For Life - £4000 or more,£71.68,£860.16 ,£110,12000
Petplan,Dog,Beagle,4,Male,Yes,Covered For Life - £4000 or more,£36.37,£436.44 ,£110,4000
Petplan,Dog,Beagle,4,Male,Yes,Covered For Life - £4000 or more,£47.20,£566.40 ,£110,7000
Petplan,Dog,Beagle,4,Male,Yes,Covered For Life - £4000 or more,£79.73,£956.76 ,£110,12000
Petplan,Dog,Rough Collie,4,Male,Yes,Covered For Life - £4000 or more,£36.37,£436.44 ,£110,4000
Petplan,Dog,Rough Collie,4,Male,Yes,Covered For Life - £4000 or more,£47.20,£566.40 ,£110,7000
Petplan,Dog,Rough Collie,4,Male,Yes,Covered For Life - £4000 or more,£79.73,£956.76 ,£110,12000
Petplan,Dog,Boston Terrier,4,Male,Yes,Covered For Life - £4000 or more,£45.63,£547.56 ,£110,4000
Petplan,Dog,Boston Terrier,4,Male,Yes,Covered For Life - £4000 or more,£59.22,£710.64 ,£110,7000
Petplan,Dog,Boston Terrier,4,Male,Yes,Covered For Life - £4000 or more,£75.54,£906.48 ,£110,12000
Petplan,Dog,Airedale Terrier,4,Male,Yes,Covered For Life - £4000 or more,£45.63,£547.56 ,£110,4000
Petplan,Dog,Airedale Terrier,4,Male,Yes,Covered For Life - £4000 or more,£59.22,£710.64 ,£110,7000
Petplan,Dog,Airedale Terrier,4,Male,Yes,Covered For Life - £4000 or more,£75.54,£906.48 ,£110,12000
Petplan,Dog,Old English Sheepdog,4,Male,Yes,Covered For Life - £4000 or more,£48.54,£582.48 ,£110,4000
Petplan,Dog,Old English Sheepdog,4,Male,Yes,Covered For Life - £4000 or more,£62.99,£755.88 ,£110,7000
Petplan,Dog,Old English Sheepdog,4,Male,Yes,Covered For Life - £4000 or more,£78.54,£942.48 ,£110,12000
Petplan,Dog,Samoyed,4,Male,Yes,Covered For Life - £4000 or more,£48.54,£582.48 ,£110,4000
Petplan,Dog,Samoyed,4,Male,Yes,Covered For Life - £4000 or more,£62.99,£755.88 ,£110,7000
Petplan,Dog,Samoyed,4,Male,Yes,Covered For Life - £4000 or more,£78.54,£942.48 ,£110,12000
Petplan,Dog,Greyhound,4,Male,Yes,Covered For Life - £4000 or more,£49.40,£592.80 ,£110,4000
Petplan,Dog,Greyhound,4,Male,Yes,Covered For Life - £4000 or more,£64.10,£769.20 ,£110,7000
Petplan,Dog,Greyhound,4,Male,Yes,Covered For Life - £4000 or more,£81.24,£974.88 ,£110,12000
Petplan,Dog,Portuguese Podengo,4,Male,Yes,Covered For Life - £4000 or more,£49.40,£592.80 ,£110,4000
Petplan,Dog,Portuguese Podengo,4,Male,Yes,Covered For Life - £4000 or more,£64.10,£769.20 ,£110,7000
Petplan,Dog,Portuguese Podengo,4,Male,Yes,Covered For Life - £4000 or more,£81.24,£974.88 ,£110,12000
Petplan,Dog,German Shorthaired Pointer,4,Male,Yes,Covered For Life - £4000 or more,£50.18,£602.16 ,£110,4000
Petplan,Dog,German Shorthaired Pointer,4,Male,Yes,Covered For Life - £4000 or more,£65.12,£781.44 ,£110,7000
Petplan,Dog,German Shorthaired Pointer,4,Male,Yes,Covered For Life - £4000 or more,£81.35,£976.20 ,£110,12000
